#{"t_start": 1762118954.1241758, "env_id": "None"}
r,l,t
-1.087867,40,11.41108
3.178338,40,11.417811
3.605364,40,11.424549
12.024561,40,11.431232
23.310789,40,11.437897
3.807193,40,11.444517
23.510789,40,11.451437
-6.727144,40,11.458397
-31.880089,40,11.465251
10.024561,40,11.472104
4.007193,40,11.478922
21.217507,40,11.485684
19.810789,40,11.492461
23.017507,40,11.499201
23.710789,40,11.505972
4.307193,40,11.512725
-1.280922,40,11.519463
20.917507,40,11.526218
22.110789,40,11.532988
12.524561,40,11.539922
13.824561,40,11.54687
-1.464424,40,11.553628
13.124561,40,11.560331
24.310789,40,11.566983
23.710789,40,11.573684
10.424561,40,11.580385
24.210789,40,11.587022
13.926198,40,11.593671
24.810789,40,11.954482
4.007193,40,11.969161
23.710789,40,11.980559
1.875814,40,11.989519
-0.162149,40,11.998224
-5.421112,40,12.005608
0.976538,40,12.012843
25.510789,40,12.019952
23.710789,40,12.026955
3.004461,40,12.034116
22.310789,40,12.041934
23.617507,40,12.049489
3.314016,40,12.056785
4.178338,40,12.06384
13.424561,40,12.070861
2.731772,40,12.077908
3.378338,40,12.085115
23.210789,40,12.092126
12.626198,40,12.099052
-0.80293,40,12.105979
-3.108815,40,12.113264
12.824561,40,12.120549
-2.719478,40,12.127756
-1.702069,40,12.134946
-0.493763,40,12.142086
12.726198,40,12.149231
23.310789,40,12.15648
20.110789,40,12.163443
4.493206,40,12.170487
12.926198,40,12.177437
22.617507,40,12.184624
22.210789,40,12.191848
9.426198,40,12.198804
22.917507,40,12.205908
12.824561,40,12.21368
11.326198,40,12.22099
12.524561,40,12.228142
4.107193,40,12.235101
12.024561,40,12.242333
13.824561,40,12.24935
3.307193,40,12.256271
22.517507,40,12.263187
12.924561,40,12.270182
20.717507,40,12.277245
3.707193,40,12.284269
23.210789,40,12.291533
22.310789,40,12.298685
13.824561,40,12.306005
11.424561,40,12.313205
21.710789,40,12.320132
-1.772507,40,12.327303
-1.503422,40,12.661344
25.817507,40,12.669043
-2.549499,40,12.676374
24.517507,40,12.683637
10.126198,40,12.690719
